,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
26,18.7,1.9,8.5,27.3,0.598,31.2,6.2,2017-18,Giannis Antetokounmpo,0.5365853658536586,0.0,75.0,1010.0,0.074,75.0,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
27,18.0,6.1,5.9,26.0,0.64,30.4,7.3,2017-18,Kevin Durant,0.7073170731707317,0.0,66.0,1010.0,0.065,68.0,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
28,17.7,3.6,7.0,21.0,0.555,29.6,2.8,2017-18,DeMar DeRozan,0.7195121951219512,0.0,32.0,1010.0,0.032,80.0,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
29,18.0,1.2,5.3,25.0,0.57,29.1,3.9,2017-18,LaMarcus Aldridge,0.573170731707317,0.0,6.0,1010.0,0.006,75.0,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.837,10.9,0.209
30,15.6,3.4,7.2,23.7,0.59,24.9,5.8,2017-18,Jimmy Butler,0.573170731707317,0.0,5.0,1010.0,0.005,59.0,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198
31,16.9,9.8,5.9,28.2,0.675,31.0,7.7,2017-18,Stephen Curry,0.7073170731707317,0.0,5.0,1010.0,0.005,51.0,32.0,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267
32,16.8,3.4,7.4,22.9,0.573,33.4,3.3,2017-18,Joel Embiid,0.6341463414634146,0.0,4.0,1010.0,0.004,63.0,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155
33,17.9,5.8,4.9,23.1,0.577,30.1,5.8,2017-18,Victor Oladipo,0.5853658536585366,0.0,2.0,1010.0,0.002,75.0,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155
34,17.3,2.8,9.5,30.9,0.644,32.3,10.4,2018-19,Giannis Antetokounmpo,0.7317073170731707,78.0,941.0,1010.0,0.932,72.0,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
35,24.5,13.2,11.0,30.6,0.616,40.5,11.0,2018-19,James Harden,0.6463414634146342,23.0,776.0,1010.0,0.768,78.0,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254
